stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.00000] opening C:\Users\Hayat\source\repos\Projeto-1904\Projeto 1904\TestProject\x64\Debug\allegro5.cfg r
system   D            wsystem.c:836  maybe_parent_dir                 [   0.00000] Also searching C:\Users\Hayat\source\repos\Projeto-1904\Projeto 1904\TestProject\x64\
system   D            wsystem.c:891  _al_win_safe_load_library        [   0.00000] PathFindOnPath found: C:\Windows\system32\shcore.dll
system   D            wsystem.c:797  load_library_at_path             [   0.00000] Calling LoadLibrary C:\Windows\system32\shcore.dll
system   I            wsystem.c:800  load_library_at_path             [   0.00000] Loaded C:\Windows\system32\shcore.dll
system   I             system.c:272  al_install_system                [   0.00000] Allegro version: 5.2.10
system   D            wsystem.c:836  maybe_parent_dir                 [   0.00914] Also searching C:\Users\Hayat\source\repos\Projeto-1904\Projeto 1904\TestProject\x64\
system   D            wsystem.c:891  _al_win_safe_load_library        [   0.01003] PathFindOnPath found: C:\Windows\system32\d3d9.dll
system   D            wsystem.c:797  load_library_at_path             [   0.01030] Calling LoadLibrary C:\Windows\system32\d3d9.dll
system   I            wsystem.c:800  load_library_at_path             [   0.02261] Loaded C:\Windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:679  d3d_init_display                 [   0.16630] Render-to-texture: 1
d3d      I         d3d_disp.cpp:1780 d3d_create_display_locked        [   0.16816] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1781 d3d_create_display_locked        [   0.16839] al_display=0000016E453F2B10
d3d      D         d3d_disp.cpp:1782 d3d_create_display_locked        [   0.16862] al_display->vt=0000016E453F4910
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.18062] found 192 format combinations
display  D   display_settings.c:214  debug_display_settings           [   0.18115] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.18131] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.18141] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.18160] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.18171] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.18181] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.18193] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.18206] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.18219] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.18234] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.18251] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.18273] Score is : 715
display  D   display_settings.c:214  debug_display_settings           [   0.18303] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.18332] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.18356] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.18378] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.18390] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.18408] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.18420] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.18439] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.18448] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.18465] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.18478] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.18489] Score is : 715
display  D   display_settings.c:214  debug_display_settings           [   0.18535] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.18565] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.18592] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.18617] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.18647] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.18668] Score is : 726
