stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.00000] opening C:\Users\Hayat\source\repos\Projeto-1904\x64\Debug\allegro5.cfg r
system   D            wsystem.c:836  maybe_parent_dir                 [   0.00000] Also searching C:\Users\Hayat\source\repos\Projeto-1904\x64\
system   D            wsystem.c:891  _al_win_safe_load_library        [   0.00000] PathFindOnPath found: C:\Windows\system32\shcore.dll
system   D            wsystem.c:797  load_library_at_path             [   0.00000] Calling LoadLibrary C:\Windows\system32\shcore.dll
system   I            wsystem.c:800  load_library_at_path             [   0.00000] Loaded C:\Windows\system32\shcore.dll
system   I             system.c:272  al_install_system                [   0.00000] Allegro version: 5.2.10
system   D            wsystem.c:836  maybe_parent_dir                 [   0.00145] Also searching C:\Users\Hayat\source\repos\Projeto-1904\x64\
system   D            wsystem.c:891  _al_win_safe_load_library        [   0.00361] PathFindOnPath found: C:\Windows\system32\d3d9.dll
system   D            wsystem.c:797  load_library_at_path             [   0.00376] Calling LoadLibrary C:\Windows\system32\d3d9.dll
system   I            wsystem.c:800  load_library_at_path             [   0.01114] Loaded C:\Windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:679  d3d_init_display                 [   0.10197] Render-to-texture: 1
d3d      I         d3d_disp.cpp:1780 d3d_create_display_locked        [   0.10536] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1781 d3d_create_display_locked        [   0.10585] al_display=0000025138A6F510
d3d      D         d3d_disp.cpp:1782 d3d_create_display_locked        [   0.10643] al_display->vt=000002513703EA50
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.12646] found 192 format combinations
display  D   display_settings.c:214  debug_display_settings           [   0.12681] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.12698] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.12720] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.12748] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.12771] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.12805] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.12827] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.12852] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.12877] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.12896] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.12921] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.12941] Score is : 715
display  D   display_settings.c:214  debug_display_settings           [   0.12961] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.12986] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.13003] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.13023] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.13038] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13064] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.13089] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13110] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.13123] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
